"","PC1","PC2","PC3"
"PARD6G",-0.724444933500445,0.0480892877690496,-0.629266726104336
"FOXO3B.ZNF286B",-0.709678541231664,-0.173298964018301,-0.611271924419855
"TMEM136",-0.675570884708404,0.176162978472645,-0.6384038621045
"UHRF1",-0.661107529441327,0.0272351734412686,-0.665024084470232
"ROBO1",-0.648184735951623,-0.140153844692327,-0.62682536257035
"ZNF346",-0.644365180077915,-0.0319086444513747,-0.664442680061167
"LOC400958",-0.590711370728722,0.120264891286435,-0.651192562078306
"TNKS",-0.575506759281148,0.340248159674953,-0.681380187260206
"OTUB2",-0.573918712152529,0.00351938327051894,-0.682512765788073
"EDC3",-0.562008026894463,-0.0896670545102638,-0.726535710945377
"ITM2C",-0.559618321605965,0.11113820470268,-0.687391094501994
"TAT",-0.556579734567602,0.0790223846079237,-0.731353118488392
"DZIP1",-0.556424365472429,0.167398532761197,-0.731046144732532
"C14orf55",-0.548125174890279,0.198322561664047,-0.658055338728454
"DSC1",-0.546293456225518,0.282084184041792,-0.665403696616232
"SPATS2",-0.530168790447367,0.244857962826518,-0.673565736670201
"NME4",-0.526834610061281,-0.111528079906841,-0.732091423474649
"LOC148709",-0.52219363146734,-0.499691109474906,-0.61105560606708
"PFN2",-0.519451930731482,0.0240795328817896,-0.621348077008136
"ERVV.1",-0.516930127273465,0.101761144946392,-0.611242495868916
"TMEM106B",-0.51202914774357,0.025756764020818,-0.611820205414852
"AGBL5",-0.506115252961855,-0.0388769903278536,-0.647163436391706
"PURG",-0.497054237322351,-0.150405958395278,-0.633599173004268
"RPGRIP1L",-0.496677249944895,0.134250997403816,-0.760936872055723
"TUSC3",-0.492320409963008,0.261810306729969,-0.621376723879322
"C16orf59",-0.490857619757857,-0.338623600431097,-0.67417104496991
"C11orf74",-0.485100509064196,0.0809493072244782,-0.650975737777455
"HAPLN4",-0.481177540677478,-0.343704824877834,-0.646554136520538
"RPL27A",-0.477118324596353,-0.091573913186328,-0.621542211459601
"THNSL1",-0.469851037815503,-0.00659443526647963,-0.757394953219644
"SPSB4",-0.468547447920185,-0.335525943865817,-0.663857764624003
"MOG",-0.465529315826615,-0.141658890368791,-0.684256825352323
"GAPDHS",-0.460859692630167,-0.290963960843612,-0.62811793785299
"GOLM1",-0.454462526598893,-0.272858963983968,-0.707078079209677
"LOC284581",-0.444861909487387,-0.180520955763207,-0.66379996206464
"ZNFX1.AS1",-0.435838204846605,0.0380233745274854,-0.729816434247099
"C15orf40",-0.432146061768737,0.453875646933575,-0.620546879836772
"CLASP1",-0.430211050490752,0.436726036574226,-0.62406255290768
"POLR3D",-0.427303796209876,-0.0926398453591094,-0.633134451224305
"MARCKSL1",-0.425255052278476,-0.0361375103326055,-0.73363731881456
"PKMYT1",-0.422797032484079,-0.00738265357548019,-0.697094381464473
"INGX",-0.422351438642052,-0.0216882557363341,-0.632333032505838
"C7orf10",-0.420889585291859,-0.0188995188206243,-0.651286600543799
"C17orf69",-0.418610517247936,-0.173220551450503,-0.634292100831455
"MMACHC",-0.415137274151985,-0.0985636716666555,-0.626120565192446
"PNMA3",-0.412130617599084,-0.35892438385704,-0.652988789035153
"CHRNB4",-0.410892392922184,-0.387753007500999,-0.626943097382322
"KIF24",-0.410703277148568,0.334069548838383,-0.715402644796826
"MPDZ",-0.408927935380567,-0.327356812438496,-0.707527826355453
"ZBTB26",-0.402066654352695,0.0505941327076575,-0.704275069021867
"FKTN",-0.400232290678407,0.230463359559926,-0.786548616184619
"TMEM99",-0.398940302479977,0.433010909388162,-0.610734022816347
"UBE2E3",-0.398752984143303,-0.211544017028978,-0.616192173431886
"ZNF167",-0.396479114220314,-0.0230205496525834,-0.737784035682742
"LMNB2",-0.395180321966637,0.176867805825721,-0.711247273301296
"LOC340037",-0.395056360452617,0.115937719308088,-0.613861678261717
"ZNF16",-0.394455245391663,-0.0813353198866499,-0.70855281824712
"LOC100128292",-0.393469506824111,-0.0896489186045815,-0.786652867970918
"NT5DC2",-0.390870564109607,-0.0916027288884404,-0.769643262947544
"LOC100128126",-0.382364642604667,0.227151963456175,-0.735619368604356
"FBXO40",-0.381362116820967,-0.0514267378654272,-0.63165736176961
"MSI2",-0.381076109847573,0.107426177440295,-0.615442444241463
"LOC100506730",-0.372304446519571,0.346950920433187,-0.779205310716142
"ZNF772",-0.368377417593911,0.4124140503092,-0.687798316487114
"LDLRAD3",-0.360391072088819,0.109544182300434,-0.620015028947153
"LOC339803",-0.355748668595971,0.48767251552731,-0.648581611800822
"ZNF618",-0.35574333554693,0.361336268991287,-0.641350661636963
"FLJ12825",-0.355386510797243,0.25806587537476,-0.68914185916884
"RNF222",-0.351594159124465,-0.267713575630654,-0.713090785696651
"ZNF554",-0.346868021019449,0.405195166014175,-0.671038165475184
"GDF11",-0.346841250883592,0.396372731964923,-0.781966672843656
"LOC100506305",-0.342130616527098,0.147138347535051,-0.72103948135788
"LOC100335030",-0.341616178486318,0.0423044584169337,-0.620032148685163
"MGC2889",-0.341102197073689,-0.141411803246036,-0.687622177154685
"CYP27C1",-0.339945475177906,0.17587298882473,-0.611305660881757
