"","PC1","PC2","PC3"
"RCC1.SNHG3",-0.830905917623991,-0.536660940181712,0.0347218783360165
"PRIM1",-0.830080640314175,-0.531555098247145,0.0546250314369073
"DEK",-0.826847469844382,-0.5254800052372,0.106830616986845
"GPR63",-0.823252592155447,-0.531370370611499,-0.0653601525535328
"NOLC1",-0.82302350047843,-0.537131307260573,0.000443483815795732
"EXOSC2",-0.819137362750868,-0.547862167661741,-0.0666348574445787
"FAM71F1",-0.81730680397964,-0.544294798238423,0.0615963093010154
"FBL",-0.816994390925222,-0.548385084306928,-0.114477780840265
"PRPS1",-0.816476062841744,-0.522115566368505,0.0119729380264998
"URB2",-0.816343469074587,-0.541365742185672,-0.0180707231852763
"RRP1B",-0.816075261085482,-0.536119437497761,-0.0900952919136675
"DPPA4",-0.815406062780866,-0.555919286675531,0.0587741383530171
"PPPDE1",-0.815285509959489,-0.536408076508834,0.0990138812485928
"C2orf56",-0.812850460540053,-0.553323376923212,0.0395678600307472
"C10orf2",-0.812616905083345,-0.544407852791939,-0.0696919331453885
"PAWR",-0.81244993075664,-0.527725760067448,0.152166756741562
"BUB3",-0.809434828579226,-0.54671954141379,0.0518960100237606
"PAK1IP1",-0.809269587293658,-0.555464639316786,0.0213714172797187
"KAT7",-0.807395468172538,-0.553469713733956,0.0635855071922236
"MCM3",-0.807348640735747,-0.547270161191748,0.0406859590177142
"LOC100127983",-0.804829211039733,-0.55113532689484,0.162624746876379
"NAT10",-0.800993455822382,-0.523532353063137,-0.16699417231498
"SLTM",-0.80033040387423,-0.540167366593781,0.168932059352845
"PARP1",-0.799764836438286,-0.522582622569268,-0.162879276530863
"MED14",-0.798409358564156,-0.527502372095186,-0.0165950870277009
"RLN2",-0.797789089196322,-0.574889282373225,-0.0167961454106126
"OCIAD2",-0.796715512422409,-0.552543645528965,0.0923502005797695
"MSL3P1",-0.795857222241949,-0.523592991995025,-0.0993293842297376
"SLC39A10",-0.794720804860969,-0.577404690072619,-0.0139543781830151
"OXNAD1",-0.793907185428761,-0.531480305811834,0.1378767997508
"ALDH1B1",-0.792326947977214,-0.575316060661501,0.0124334817231789
"GRTP1",-0.792169737384907,-0.569462960850501,0.0414383330843981
"NOP2",-0.791897666502665,-0.552680905619129,0.141597819743157
"CHCHD3",-0.789751088550667,-0.566437241725893,0.0268819528156862
"LHFPL1",-0.788832896093904,-0.556582628455856,-0.0838028656619995
"SORD",-0.787987814500075,-0.562613240665263,-0.128730041700098
"TXLNG",-0.787304262863404,-0.570722612549791,0.0562729491675291
"SH3GL3",-0.783634095600973,-0.542710624620941,-0.00734565522749829
"TRNT1",-0.783116565474279,-0.528755977005984,-0.0116827040308831
"MRPL16",-0.783095620393935,-0.554129294028368,0.198033468457822
"DANCR",-0.781969729586856,-0.578224165731342,-0.00493530748817929
"ZFP42",-0.781653186026172,-0.605401524074911,0.0338577373570012
"METTL8",-0.781336258430841,-0.583087916075039,-0.0332126134650664
"POLR1B",-0.781276752262469,-0.571303765231794,0.038476544008395
"LOC100505817",-0.780943102049538,-0.563124946887385,0.0532973087527433
"MTHFD1",-0.780801012801712,-0.587204324074719,0.0608160732857624
"METTL3",-0.780402247853566,-0.56353840805726,0.0910426762588342
"PPM1N",-0.779219338464288,-0.534627563538781,0.1240927247979
"DIMT1",-0.779035743603284,-0.550829479007664,0.182838033842725
"SP4",-0.778038711856973,-0.573136280640756,0.00124819335427521
"ARG2",-0.776820612467499,-0.53790486368368,-0.046627302583972
"FKBP1B",-0.776796731703733,-0.538038444342932,0.106855138682988
"SNRPB",-0.77639799827437,-0.532849074292313,0.205629146835088
"CEBPZ",-0.776360222893295,-0.593138757542725,0.0821985088093118
"C17orf104",-0.776060805948843,-0.592313878228028,-0.00799557483750866
"USP6NL",-0.774756354632648,-0.560590144907264,0.0699124242586612
"ANKRD18B",-0.774256584529027,-0.563209515308767,0.0165273316660077
"DMP1",-0.774014181465613,-0.565851533872842,-0.00911707975586253
"EARS2",-0.773788528800046,-0.53257749653419,-0.152442250081213
"DNMT3B",-0.773582743890403,-0.608704293850747,0.0391483378606826
"PRDM14",-0.772172583637135,-0.605238384873265,0.0481577659933673
"UGT3A2",-0.771445483447067,-0.613315571063351,0.0422716971438364
"FLVCR1.AS1",-0.768482691502346,-0.545722568748049,-0.0378513393222038
"TRMT11",-0.768339470423381,-0.530610913206095,0.0378605117422258
"COX10",-0.767832991086459,-0.525802836069275,0.129065094210174
"QRSL1",-0.766258329510244,-0.577310838247674,-0.130090428249325
"SALL2",-0.766222363040203,-0.561058964418514,-0.147377374451903
"LOC284215",-0.76615995305834,-0.535419178883828,0.00422042683048134
"ACP1",-0.76486397007191,-0.550047894550005,-0.0743433194443836
"ACBD7",-0.763997927741049,-0.562780795333299,-0.197391648745568
"UST",-0.762848003266705,-0.555667039901646,0.126628841907357
"PDP2",-0.760993680188983,-0.537240929494693,-0.0042556125020136
"WDR3",-0.760470687386949,-0.592531443058692,-0.112652561404243
"FAM64A",-0.760334743787076,-0.524319056651518,-0.218543083884273
"LOC147646",-0.759333454315963,-0.621778887469417,0.0616191630360627
"C6orf115",-0.759132975414534,-0.616470868861621,0.145922612470398
"SEPHS1",-0.758778327629431,-0.624176589218247,0.00496504018449914
"OXCT1",-0.757224618448406,-0.571067236334856,0.0202834738973259
"TNFRSF11A",-0.757000216212982,-0.561537978351434,0.146031557190922
"DDX25",-0.756921647404095,-0.591085998464656,-0.0654046751340357
"TOM1L1",-0.756890452727294,-0.549970482684328,0.241762812343542
"SNORA62",-0.756375538560692,-0.541304187791612,0.0921945852121617
"PCDH11X",-0.75630566616095,-0.551650730800308,-0.107833791738607
"TIMM8A",-0.756021929972951,-0.573463493200676,-0.135944489897482
"GPR19",-0.755361520654009,-0.558782969058619,-0.129977439700848
"UNC5D",-0.755345658413377,-0.586821643539808,0.0128553063084278
"CDYL",-0.755016657192309,-0.626161748882275,0.00187306960474276
"PHF17",-0.75464542297629,-0.609504871266055,0.161953807190374
"AHCY",-0.754545895105564,-0.539172091759667,-0.187771660180806
"C2orf44",-0.754015653884242,-0.557310624167857,-0.223421233234737
"ITPRIPL1",-0.7537294692322,-0.548630351608197,-0.118035745604517
"FAM160A1",-0.753198105078957,-0.557371784413377,0.160855161434887
"C15orf55",-0.753064107671244,-0.633391695482599,0.0474990483999712
"HRSP12",-0.752347654972322,-0.598199616841561,-0.105271045469068
"CHML",-0.749761375681973,-0.588962971487171,-0.12387906787432
"MGST1",-0.749283710798258,-0.526466260466218,0.349566700855468
"PAIP2B",-0.748904623905093,-0.57724581567958,-0.0748024701397897
"ERVMER34.1",-0.748777012762854,-0.627898936841814,0.0346766371747978
"PHB",-0.748130435962748,-0.585429913461223,0.083995267101182
"HHLA3",-0.748031807985437,-0.638745219455981,0.00751033629066687
"RBPJ",-0.747556997868863,-0.529300782562485,-0.172285670570394
"EPHX3",-0.747344059379132,-0.532266521518964,0.273329507216242
"SS18L2",-0.74730626130724,-0.629739324661646,0.0676609618604056
"LOC100507043",-0.747114324352964,-0.605746795754157,-0.0491368920030867
"TDRKH",-0.746652721003391,-0.537947746746119,0.139369497470787
"PRB3",-0.746565076909638,-0.602779119973351,0.110434485042369
"TCOF1",-0.745718479877138,-0.611424623029323,0.0134519102311596
"AEBP2",-0.745041481800762,-0.602818224480364,0.00117151345111339
"HMGN5",-0.744787326908518,-0.624829120267887,0.0386602055150677
"IL34",-0.743827578033833,-0.542822729070908,0.255981014217801
"ZNF878",-0.742620631633428,-0.621195054265877,-0.0208415307128412
