"","PC1","PC2","PC3"
"CCM2",0.758281230282319,-0.00876040366918686,0.230802906866631
"C11orf63",0.758308737896883,0.237654506027609,-0.0403470533046832
"PGS1",0.758453124011753,-0.178355776499958,0.59503847172066
"AMDHD2",0.758595395247296,-0.00793886566078285,0.223699117828418
"PDE8A",0.75861970114891,0.0942786063684826,0.0012634114873566
"C17orf28",0.758730335498784,0.0840598897672732,-0.0542074307015359
"HDAC5",0.758854707238276,0.153609487978719,0.377869577655911
"MAP1LC3A",0.758913955123763,0.115116807010607,-0.266564633305653
"PPP1R37",0.759243136197426,0.0683776751074204,-0.284695979241207
"RADIL",0.75936660941455,0.142109365995466,0.121082301712788
"RPUSD1",0.759367276766549,0.0461008103838814,-0.180909768285518
"PPP1R12C",0.759425704985504,-0.0755976963922025,0.542023235227521
"NAPRT1",0.759528737963274,-0.0215970327937193,0.438690177451806
"PLA2G4A",0.75958201941425,-0.130354208932445,0.351880077334004
"FCGRT",0.759803069737412,-0.0339506961922008,0.497632481694076
"LOC572558",0.760023737414141,0.153454429941848,-0.281162243349874
"MAPK3",0.760131895254837,-0.0620671670397155,0.555731470324303
"ABHD14B",0.760368733070673,-0.0772522086334727,0.579346047955787
"FLJ11235",0.760423946272466,0.0986884362425909,0.0740947704013469
"RAB11FIP5",0.760499380595136,-0.120571922423246,0.319598248923032
"BCL7C",0.760557858462937,0.271955039350469,-0.404922199450348
"ROM1",0.760640929200324,-0.00230553334092447,-0.0763372977016628
"IQSEC1",0.760647529235589,-0.0448889236762614,-0.0721293359198166
"HIGD2A",0.760683745501229,-0.039685414830571,0.0257850289019791
"ZNF324B",0.76090865719678,0.177282329205019,-0.476980376987757
"FAM120B",0.760924969018575,0.356918673693038,0.394112800331826
"CROCC",0.761169570680905,0.0801477040309301,-0.353042573859349
"MAF1",0.761173381133799,-0.0901917951315444,0.469187974148794
"SSR4P1",0.761268693543852,0.022779440030334,0.116721090570225
"PI4KAP2",0.761296390847395,-0.0386016545326415,0.282673618117063
"TMF1",0.761332275395442,0.369105857211164,0.131875866544092
"STRA13",0.761470037038577,-0.258076947548691,-0.183989682725681
"ITIH5",0.761658519392251,0.0261567600002432,-0.0513252186469518
"ZNF276",0.761700102997404,0.0610538238663568,0.479829535831305
"C22orf32",0.762311356652218,0.0812462565297809,-0.201688036890801
"C7orf59",0.762444305048907,-0.153763304239368,0.29366807015135
"ITGB3",0.762527040519136,0.221773827477375,0.020416043453887
"ZNF414",0.762705722516709,0.0835519863187908,-0.284446072931433
"SUGT1P1",0.763004254311613,0.0701316881328478,-0.333322665198361
"FAM127C",0.763574908891402,0.113507200491023,-0.145297778420762
"SCAMP3",0.763594381960295,-0.0807748031540895,0.37104154709493
"RAI1",0.763695310501961,0.181591363609194,-0.437214736142609
"LOC100859930",0.763759143292063,-0.136598160882047,0.585972862467493
"SEMA4B",0.763895938197628,-0.198589011808655,0.167921621641575
"ZBTB47",0.764004410449936,0.0656151431091364,-0.100609858325346
"RGP1",0.764161842904177,0.255362394366863,0.288227027538057
"PHLDB3",0.764196955977766,0.119902339230022,-0.442439632355326
"REPS2",0.764229030678832,0.184465137362271,-0.00803597968227069
"GNG7",0.764308872927379,-0.0320632383842239,0.111334035617995
"BCHE",0.764362744949081,0.0707448822706022,-0.256524951177404
"TMEM134",0.764446341815396,0.0645465030948252,-0.113586849950898
"CCDC71",0.764658746442222,-0.183459268050923,0.379367480635974
"MAPKBP1",0.764693694451406,-0.00556788452929835,-0.416944525945972
"PIEZO1",0.764788032409592,-0.0366878489826381,0.510558683650348
"CDIPT",0.764858076471078,-0.0552958771149572,0.618357491466234
"MRPL4",0.764871681844571,-0.0265113545756069,-0.101294326228142
"NOXA1",0.765020777205545,0.0540554622513662,0.175344887835645
"EHD2",0.765136774469046,-0.0338310964098594,0.494521868511808
"ACOT8",0.765404515276765,-0.107559834690075,0.0672373814813512
"CCDC9",0.765581337437464,0.0714244736184088,0.289218855606637
"DUSP7",0.765681121468112,-0.0675985397128151,0.560747083074873
"SYVN1",0.765772808349991,0.0275013861410032,0.0532481672383765
"CREB5",0.766011840665625,0.108444366947612,-0.319910158485012
"PARP16",0.766208929384529,0.0131944672590816,-0.531540944708205
"MED26",0.766316337654558,-0.0731858477571069,-0.0378486158850491
"IFFO2",0.766450713400368,-0.047594899481585,0.171195285086782
"UNC45A",0.766479838588398,-0.179069087889941,0.241518537911411
"STARD10",0.766701989207088,-0.0406907144839182,0.542624535148394
"IRAK1",0.766726546081676,-0.150952351677374,0.521484730098686
"ZSCAN18",0.766830739767803,0.154530216902665,-0.34736035899962
"SMYD2",0.766952753693483,0.259486884638809,0.269973649497742
"MRPL55",0.767020209605914,0.0408035763623392,-0.218015104374359
"TMEM53",0.7672470769769,-0.0603195583832232,0.310538597231024
"C19orf63",0.767641049089283,0.0969781407735364,-0.0457703773250473
"RASSF7",0.767714919048261,-0.0620809476422721,0.555179177388016
"CCDC101",0.767961219731382,-0.102553891668916,0.467605576270988
"DDX54",0.768071773958133,-0.181437634625109,0.141316638018997
"PGM5",0.768260420936442,0.0941877543280744,-0.0253773068824983
"C16orf7",0.768326016255852,0.0590155775042952,-0.18009950268382
"REREP3",0.768753694202775,0.0573652074733424,-0.0200938179440836
"GPR153",0.768880259532483,0.0479831203664617,-0.236369936223785
"STOML1",0.769020549408485,0.0635942032849533,-0.162542139757112
"ULK1",0.769073321891694,0.157850418178599,-0.284511400588196
"RAD23A",0.769580143245416,-0.0676371791219898,0.228173284889974
"CARKD",0.769617797544024,0.122834137405375,-0.152776045579789
"ABHD16A",0.769637057617768,0.205592786805427,0.465829320332548
"SIRT6",0.769733532712263,0.0868139835193263,-0.268853196103473
"TM9SF1",0.769741612664727,0.186437978547638,0.364659532226076
"RILPL1",0.769792323100643,0.142709446416922,-0.292892064146047
"RHOC",0.76979724083374,0.155135170384207,0.441883397895929
"TRIM74",0.769825413921593,0.0770164212109065,-0.0901494296555805
"LTBP4",0.769871542878484,0.0120519532499331,0.347782602627081
"MEF2D",0.770160867872608,-0.0474360533884274,0.496512359543608
"VASH1",0.770177178506099,0.106793243436947,-0.417415852443052
"RECQL5",0.770215917210708,-0.0461002782996952,-0.294812640560688
"H6PD",0.770415993138178,0.151551049678355,0.0535053215551853
"MIR4687.STIM1",0.770423380360683,0.0328340111236376,0.330844806249787
"LHFPL3",0.770440725612617,-0.184573687683348,0.435143476310488
"ZBTB46",0.770599937869922,0.241472493316207,-0.371429341969496
"NDUFB7",0.77072868328419,0.0506172731806408,-0.130630641525293
"PIK3C2B",0.770924402963681,-0.0832460243667781,0.177431997014114
"TEX2",0.771080525382034,-0.129459423150837,0.522699481544896
"COL4A2",0.771121925255339,0.210734898326942,-0.0882075641934521
"LOC144571",0.771251792111831,0.0964271176460972,-0.349849618276489
"CLASRP",0.771614698504369,-0.103799360335178,0.110727434106298
"PAG1",0.771623290018938,0.123629769535292,0.440360687447337
"CCDC57",0.771694883914745,0.20340911083328,-0.0777013658898667
"DCTN3",0.772128221657366,0.22040897511215,-0.298193348282482
"RFTN1",0.772383899243861,-0.0489397095666685,0.472832011650591
"RP9P",0.77248591445868,0.273626143098013,-0.278004277286012
"ACAD9",0.772661924693039,-0.0770364664540866,0.47273821850726
"LOC158572",0.772878114491538,-0.108634580630637,0.0618861082830758
"LOC100130093",0.77316709341104,0.116140653349937,-0.131550997332983
"TBC1D25",0.773173010453132,0.0421087552721147,0.508538341505361
"P2RY14",0.773181826979837,-0.0795652997865726,0.564380039749482
"NECAB3",0.773388030551426,0.0364808463160751,0.0872138302816734
"LOC344595",0.773575981481372,-0.00328853673276344,-0.467914746266202
"FLJ44511",0.773694326782912,0.0846475660781078,-0.25369223226723
"B3GNTL1",0.773838270858046,0.0532068772340554,-0.285705616039589
"ZFPL1",0.773942139801853,0.104640027469277,-0.0819726146406634
"NOC4L",0.774120068329249,-0.0391347896480407,-0.188290366361543
"AKNA",0.774124156712337,-0.145309577589198,0.473927538509612
"FAM13A.AS1",0.774312409282754,0.0278225097319379,0.196869476482744
"ADAMTS9.AS2",0.774465137803908,-0.0116017661019745,0.368839489220169
"PITPNM2",0.774550023759242,-0.0270678235432641,0.543311868788723
"CEMP1",0.774605136700601,-0.07271744045382,0.368785505245624
"GPKOW",0.774756227923341,-0.00821570959293243,-0.0255944249687291
"PACS2",0.774756296994403,0.0855336993816964,-0.375402350988842
"ZNF213",0.775166899891172,0.0806501622724622,-0.329104796100216
"PKDCC",0.775209181698307,-0.0166953694828779,-0.337329474278574
"ZADH2",0.775246745057564,0.194179285974675,-0.221958398710305
"PUF60",0.775704702029813,-0.017347608520488,-0.36007793392907
"LAYN",0.775861387207141,-0.0558271968717098,-0.0491544188791737
"COPZ2",0.776144953718524,0.0596200472231267,-0.224776188120755
"RASSF1",0.776165000951765,-0.0714820602506386,0.524345231551308
"ST7.ST7.OT3",0.776170889615031,-0.235032521228761,0.446620717100831
"HEATR7A",0.776260960788045,-0.0173007774366389,0.507098488863444
"MARVELD1",0.776277371811644,0.00588239039522528,0.0543834787397407
"POLR3H",0.776293230307749,-0.0743572752395042,-0.0418208342057436
"RPS9",0.776612675486182,-0.141808207089307,-0.106075776217033
"DDA1",0.776678491722383,-0.0575724245054919,0.121743151118507
"KIAA0284",0.776679335380495,0.0483083624294352,0.184470775384876
"LOC678655",0.776873632308129,0.0364900836659221,-0.123686089706627
"PEX16",0.776998691728222,-0.111915286284841,0.407450598418248
"LOC100287177",0.777030208397237,0.0105572428285626,0.0678426712231392
"CTIF.MIR4743",0.777164410338361,0.0461974760242889,-0.165054164824354
"BLVRB",0.778181260426933,-0.0873380220845894,0.596055214679894
"KANK2",0.778226447888211,0.06500410559956,0.25921983382384
"VPS11",0.778234587647114,0.0195698066147937,0.367666369078165
"PRCD",0.778275460439225,0.0514244953957883,0.0913541074706014
"NCLN",0.778350722574468,-0.0617026747784908,0.244631394331568
"DRG2",0.77849461445,-0.174811197059531,0.21283825826482
"OAZ3",0.778500713154143,0.0840488349012363,-0.326413778311786
"CIDECP",0.778551518757039,0.0550122784118266,-0.117548230646137
"RABGGTA",0.778609165943347,-0.0772939398568803,0.449164608693898
"REPIN1",0.778841624200079,-0.0781210525235003,-0.214442138208513
"STARD3",0.778869616266335,-0.107868168612796,0.248379428044038
"NINJ1",0.778937743394386,-0.134269369162495,0.545475405558631
"PYGB",0.779180481118735,-0.0724704075544533,0.42283543430581
"MOXD1",0.779235848564449,0.00926181693284447,0.0888872752687204
"FYCO1",0.779285510343206,-0.105046386682964,0.478192066808689
"NME3",0.779287489715419,-0.00300324145825981,0.238152940332716
"ST5",0.779318789280145,0.346057555585196,0.0685259322121335
"ZNF767",0.779374968489506,0.168812685025123,-0.16663245879227
"PEX11G",0.779396444842243,0.0312576166939155,0.263746121294597
"ZNF746",0.779574294532204,0.0331462058309511,0.367728334509255
"CITED4",0.779688848815683,-0.118805128823384,0.252076467462367
"CYB5R3",0.779853305476864,-0.0557314045447933,0.514525030054109
"C14orf167",0.780078539040278,-0.0449387679646281,-0.217753441482183
"FAM49A",0.780269030716672,-0.248427866001486,0.425255026230871
"TCTN1",0.780345950476331,0.274396849285857,-0.302672520488206
