"","PC1","PC2","PC3"
"MED20",-0.978154140905392,-0.0868696060024087,0.016649145701454
"CENPE",-0.978080295756322,0.0709593622825218,0.0586495963932325
"GSTCD",-0.978051757879148,-0.0879204044908662,-0.0840654206055608
"BRCA1",-0.978043230360331,-0.0955633048639559,0.0557449989580117
"SASS6",-0.978035648430575,-0.126967239802508,0.087094970996213
"DLGAP5",-0.977842753194169,-0.126887860000732,0.0986751842614521
"MTRNR2L4",-0.977762834289128,-0.143040944212281,0.0719265630830711
"ZW10",-0.977762383541347,-0.0109667157885677,0.0652141230419692
"G3BP1",-0.977437328572155,-0.0977031602330347,0.106454632708753
"RPL7L1",-0.97727073041107,0.000247470569195685,0.084791781145279
"CCDC18",-0.977262689514027,-0.0440045102218098,0.110856578210066
"MTRNR2L8",-0.976983596884399,-0.130963560187521,0.00693745819171551
"UGT3A1",-0.976885368925313,-0.0435196942260381,0.142139445213226
"ZNF93",-0.976728012295263,-0.128049490802719,0.10868594536924
"HBS1L",-0.976332772449954,-0.0531000861192003,0.0644809900511579
"SKA1",-0.976121467029324,-0.160791827573895,-0.00141288543973083
"MELK",-0.975992290464521,0.0106007523578605,0.0889648866521887
"NUSAP1",-0.975882235640343,0.0357556289956628,-0.0253982494509248
"BRCA2",-0.975792593417656,-0.148012371154553,0.0715030031317966
"CDC25C",-0.975742681917151,-0.179653543655208,0.0151276388889353
"CEP78",-0.975422531386936,0.044496565199453,-0.0136117847486935
"RAB3GAP2",-0.975297892903049,-0.0619686520893069,0.0278983096445061
"OIP5.AS1",-0.975276448258744,-0.00963746472511508,0.108650783695014
"THAP9",-0.975157646868465,-0.0694042879541882,0.0270829076148475
"NCAPG",-0.975127856393297,0.0722090605791473,0.049021061247776
"GUF1",-0.9750275019057,-0.112332004654359,-0.109000802369079
"CNOT10",-0.974823580049317,-0.157605405059959,0.059719693542392
"CDK1",-0.974681491220391,0.0362551537997483,-0.00473144835704731
"ZNF121",-0.974660008503715,0.0150678031050031,0.14695815546372
"MTX3",-0.974547865192166,-0.0626404916467383,-0.091492272843549
"INTS2",-0.974534046824179,-0.0494452348596839,0.0684000412722246
"KIAA0947",-0.974435307114344,-0.133842772716776,0.0351193484818949
"WDR75",-0.974341386211285,-0.137069991756289,0.0888494355732334
"HMGB3",-0.974224571127231,-0.0838399570816215,0.0959676182492677
"BPTF",-0.974132753291972,-0.0516057448660559,-0.0507842111551955
"HMMR",-0.974036005239491,0.0361481382247754,0.148818720462321
"DHX57",-0.974022368216706,-0.0290016505979306,-0.116435281309761
"PUS7L",-0.973914819949421,-0.071767461302415,-0.0940427863964858
"LOC728407.PARG",-0.973911927050393,0.052115396487189,0.10303631013043
"UBE2C",-0.973900211368414,-0.156347112693851,0.0167278682671891
"ZNF649",-0.973774587698115,-0.0890156353359495,0.0436195057672008
"ORC6",-0.973768279110347,0.0374439116645002,0.0749954301590662
"MCM8",-0.973735881964185,-0.148868314056708,0.0892240760080344
