"","PC1","PC2","PC3"
"OSBPL11",-0.535002912443892,-0.171130284598291,0.766189990984492
"ORMDL2",-0.510386861602405,0.0597342303088817,0.771806647620309
"MOB1A",-0.506376686716679,0.00330843008190696,0.806414634415821
"ECHDC1",-0.492312701717826,-0.0939507433455741,0.774054351709381
"TM9SF2",-0.492236143975192,0.106261677753845,0.780341057889737
"TRAPPC10",-0.4908432803909,-0.0378954455988651,0.77676861832849
"CAP1",-0.482776139814376,-0.0558127761927685,0.831141688437526
"SPTSSA",-0.459058846274873,-0.0272232100300937,0.767493326290815
"DIAPH1",-0.4520179596748,0.0264782207020028,0.830326340153183
"TRIB1",-0.451172849181318,0.193408616866034,0.80109005386312
"GCH1",-0.449232561773111,0.175276517996115,0.808873058228737
"TMC7",-0.419648759315243,0.267278923555295,0.781594773692483
"FBXO33",-0.414519950965475,0.0960728644805061,0.804729941465052
"SNX24",-0.414145291129082,-0.0927806243348984,0.767011643125917
"SNAP23",-0.412007761635371,-0.12323411420358,0.830440202161149
"SYPL1",-0.410065862321307,0.147775363867331,0.76643685367261
"CBWD1",-0.398929247537401,-0.00798458889740971,0.837593816136515
"SWAP70",-0.39735791596223,-0.0942902420034764,0.846529044958976
"MBD2",-0.390046501179467,-0.0832915155225532,0.840613069312244
"SMCR8",-0.389995107384266,-0.154542025629181,0.782936967418507
"PPT1",-0.379346692170289,-0.355535272604084,0.794583662764056
"IL28RA",-0.367187828575173,-0.222959065308847,0.808960604962204
"PRR13",-0.364007424350103,-0.371879855416261,0.81492043814709
"C3orf64",-0.359947062267709,-0.15762844769151,0.782390263031733
"CYB5R4",-0.359833473818846,-0.23400172021931,0.829405520833767
"CLIC1",-0.358842462735942,0.0503954679588896,0.870813384531949
"CTAGE5",-0.357350918923343,-0.247347513096634,0.803891088986059
"POLR2C",-0.351991081295457,-0.229177964659791,0.770332441521986
"FBXO38",-0.340566998568965,0.199540288179514,0.766385966813491
"FAM83H",-0.340407363813839,0.126004235109394,0.779331752242697
"TMEM50A",-0.337810835931623,-0.0913715413630964,0.812102514447931
"GPR89A",-0.335705358769663,0.291292349045068,0.790679973637314
"SRSF5",-0.332624848883127,-0.237738124197958,0.80499518343695
"APLP2",-0.325561102077398,0.374888055271382,0.771372333494203
"ATP2C1",-0.322350101555669,-0.0807685222421126,0.850500872639233
"MYL6",-0.321735024106297,0.0780108863255926,0.788959235300795
"ABHD5",-0.318133029255816,0.0420342670453118,0.773518493103232
"DIRC2",-0.314993735177056,0.0290247157810492,0.785021640359549
"ADPGK",-0.311932154571576,0.299566729289182,0.802291751654738
"GLB1.TMPPE",-0.310251998889297,0.028391262513838,0.817914862912952
"CDC42SE2",-0.310110746162311,-0.26508458631554,0.809030870422523
"ARPC2",-0.307928820422307,0.0849367007737356,0.843059741594109
"RNF114",-0.303413132676962,-0.152050959864659,0.778929470452771
"SLC22A15",-0.301612040406698,0.277389508620791,0.788486276828609
"C1GALT1C1",-0.300791636123363,-0.0352056788231245,0.813472564763622
"USP25",-0.298460649047437,-0.449936782423085,0.774635720081903
"ANXA7",-0.298184031860057,0.06934431789036,0.886347128707521
"MTMR14",-0.296517686385447,-0.189056962106293,0.884754698273809
"PRKAG2",-0.294702005453868,-0.266510875731893,0.823270005153983
"SNX2",-0.293038965927027,-0.293271078877646,0.832041891787741
"VPS4B",-0.291677670369769,-0.0522122533919757,0.846740793567001
"MME",-0.290856375201704,0.177513559208674,0.852444248501333
"UPP1",-0.290164900506843,0.145936872101056,0.852279061439048
"ZNF394",-0.289773941438827,-0.4083473305591,0.768079027384117
"OSGIN2",-0.281817428204284,-0.100481369687219,0.845496054368979
"MCL1",-0.279358283895318,-0.0765696839228764,0.823104278677671
"PLEKHB2",-0.272614037516899,0.0954487357263968,0.811424794281094
"ZDHHC18",-0.272150741013867,0.0778568299724797,0.79784273711449
"WDR1",-0.260658295694413,-0.366838857962259,0.860043659724011
"TYW1",-0.255277945875387,-0.180329509361155,0.815527996991007
"CHMP1B",-0.244537493309385,-0.154345937042167,0.86527924490026
"C1orf212",-0.240712463536802,-0.204591328027831,0.853152336924434
"STK17A",-0.237496726435716,-0.0933286825059432,0.811314460305196
"PRSS16",-0.236925747288601,-0.381438437808492,0.862165587495354
"APOBEC3C",-0.235625341062749,0.24063244781406,0.826229789809589
"ATP1A1",-0.22696120936437,0.097545762113363,0.860281303501303
"LACTB2",-0.221894598901606,-0.296554409566062,0.820621097246851
"INO80",-0.221723521244228,-0.394265560420966,0.766222390007427
"ARPC4.ARPC4.TTLL3.TTLL3",-0.218811624276613,-0.0510232304087976,0.860552683499574
"TCEB3",-0.218542677449868,-0.212158900681339,0.837763940093301
"C10orf47",-0.215876450794677,0.124349940007886,0.770080698529345
"GLRX",-0.211682424581893,0.21466442652065,0.818693582587566
"CASP10",-0.208692981908848,-0.244402124773467,0.768540253387337
"TMEM2",-0.205758441354968,0.118043357609464,0.829618799781247
"FDX1",-0.204793268964341,-0.212732540356346,0.913903359839531
"C19orf42",-0.204446887354349,-0.290070372173892,0.780659578368721
"RAP1B",-0.203540381280516,-0.064629759987434,0.885745301756581
"KIF16B",-0.195443090101389,0.335380026565289,0.805221695617882
"OSTM1",-0.194836006184455,-0.259551784638484,0.765618293112777
"TMSB4X",-0.189130254928017,-0.192339730984253,0.77822897096138
"RASSF3",-0.187556508585008,-0.245263625369942,0.87395015500053
"ZDHHC5",-0.186661687876154,0.0573468375891636,0.911772240015475
"ATL3",-0.18023222341754,0.0179128931310159,0.84087803416802
"RGS5",-0.173722460373734,0.219995574951724,0.831132241296886
"SLC35D2",-0.168631374813083,0.310416820921308,0.857305652499709
"VAT1",-0.155842304477301,0.0806084437577066,0.767162707477721
"CPNE8",-0.15168427861438,-0.069882095930586,0.801693995111646
"ZNF185",-0.147060506904402,-0.131099016859587,0.766915553523165
"PDLIM1",-0.146514005372265,0.0681863389061453,0.918725511946197
"SDCBP",-0.145967051909652,0.279192066855799,0.839406162543908
"DHCR24",-0.145600486237128,-0.113325152538524,0.944545990191992
"RNF130",-0.143017143320593,-0.0512639118121245,0.918441927811537
"PAQR5",-0.139510274492953,0.0905463861495854,0.789638195731469
"PPTC7",-0.139482896113402,-0.193252630826371,0.9297080803213
"MAT2B",-0.131656902191129,-0.430432026486224,0.793405939856766
"KIAA0319L",-0.13133290714376,0.0752651563668901,0.787882147562973
"CPVL",-0.128882073108628,-0.282850026095874,0.899429316356715
"LATS2",-0.127120794450923,-0.0414121662813228,0.828882384258817
"MAL2",-0.127023515721617,-0.349835290811457,0.858109446299855
"ANXA5",-0.121282855788929,0.0845422828494451,0.807600164339094
"DHRS7B",-0.117926330114753,0.265822364692748,0.820968945961282
"REEP3",-0.117406053632169,0.251461887036073,0.783836242910536
"NCK1",-0.115261629994132,-0.338487341553578,0.837985072226626
"SMURF1",-0.114648098672428,-0.039698806606307,0.790688014446907
"ALPL",-0.111282498194007,-0.301719886634589,0.881839593071176
"PCYT1A",-0.108245871849077,0.169994227082957,0.812388209555825
"ACOXL",-0.108224159651851,-0.479537034533418,0.841578317513037
"SLC1A1",-0.104784674360939,0.0434224607459504,0.845756588466493
"WDSUB1",-0.102043502211686,0.020530863584576,0.867734512614246
"TM6SF1",-0.101832005321525,-0.305199166341308,0.782755248683053
"PARP4",-0.0996844024913407,-0.230133621359442,0.816312351517648
"PCOLCE2",-0.0977596202461515,0.0306161560345226,0.872670877861044
"C12orf49",-0.092667043148603,0.218243548635253,0.849977038057826
"ARF6",-0.0884677242544313,-0.383581699649295,0.876661820620502
"AOX1",-0.0847911030074691,-0.113555773298325,0.775373467925304
"NPC1",-0.0796518286558527,-0.109651765353133,0.87572461096518
"PPP1CA",-0.079466131460717,-0.170570740083035,0.803876362155962
"C7orf49",-0.0786393208409434,-0.170575759548473,0.863547475978626
"CTTN",-0.0785939342739408,-0.140579560900749,0.784753298245055
"PIP5K1B",-0.0769440197435918,0.177903918940086,0.877637275811063
"VASP",-0.0728380430513508,-0.197851529196569,0.934445844900385
"SPINT2",-0.0704415647938612,-0.136083338662946,0.901709846826484
"EPB41L5",-0.0616212573293517,0.0232293248782064,0.830075485144737
"NOMO1",-0.0574213825268516,-0.212265171504547,0.777114997732
"LIMS1",-0.0543232376995421,0.00701936830030624,0.79372573524545
"EBAG9",-0.0536521080018281,-0.364492874157353,0.795108553618606
"RIPK1",-0.0535310125332054,-0.295275072834971,0.798574234027285
"EXOC8",-0.0518626882481236,-0.0440032951266616,0.773357960122164
"USP43",-0.0497058302198384,0.0353800045621556,0.780150851297845
"CHTF8",-0.0476458842965411,-0.141681002731841,0.797258264867505
